t # guarino2016value
v 1 quality
v 2 quality
v 3 relator
v 4 quality
v 5 quality
v 6 relator
v 7 relator
v 8 roleMixin
v 9 category
v 10 relator
v 11 mixin
v 12 quality
v 13 quality
v 14 role
v 15 role
v 16 category
v 17 category
v 18 quality
v 19 Generalization
v 20 Generalization
v 21 characterization
v 22 mediation
v 23 mediation
v 24 relation
v 25 relation
v 26 characterization
v 27 characterization
v 28 mediation
v 29 mediation
v 30 mediation
v 31 characterization
v 32 characterization
v 33 relation
v 34 relation
v 35 relation
v 36 characterization
v 37 mediation
v 38 mediation
v 39 relation
v 40 relation
v 41 relation
v 42 relation
v 43 relation
v 44 relation
v 45 characterization
v 46 formal
v 47 formal
v 48 formal
v 49 formal
v 50 formal
v 51 characterization
v 52 mediation
v 53 formal
v 54 formal
v 55 formal
v 56 formal
v 57 relation
e 19 13 general
e 19 14 specific
e 20 13 general
e 20 15 specific
e 21 2 source
e 21 3 target
e 22 3 source
e 22 9 target
e 23 3 source
e 23 8 target
e 24 3 source
e 24 6 target
e 25 3 source
e 25 7 target
e 26 4 source
e 26 6 target
e 27 5 source
e 27 7 target
e 28 6 source
e 28 9 target
e 29 10 source
e 29 9 target
e 30 10 source
e 30 11 target
e 31 12 source
e 31 9 target
e 32 18 source
e 32 9 target
e 33 16 source
e 33 18 target
e 34 17 source
e 34 18 target
e 35 14 source
e 35 16 target
e 36 13 source
e 36 8 target
e 37 6 source
e 37 11 target
e 38 7 source
e 38 9 target
e 39 6 source
e 39 12 target
e 40 6 source
e 40 18 target
e 41 7 source
e 41 18 target
e 42 7 source
e 42 13 target
e 43 6 source
e 43 13 target
e 44 7 source
e 44 12 target
e 45 1 source
e 45 9 target
e 46 1 source
e 46 10 target
e 47 1 source
e 47 8 target
e 48 2 source
e 48 4 target
e 49 2 source
e 49 5 target
e 50 1 source
e 50 2 target
e 51 6 source
e 51 8 target
e 52 7 source
e 52 8 target
e 53 18 source
e 53 14 target
e 54 18 source
e 54 10 target
e 55 12 source
e 55 10 target
e 56 12 source
e 56 10 target
e 57 17 source
e 57 8 target
t # gailly2016value
v 1 Agent
v 2 relator
v 3 Agent
v 4 relator
v 5 object
v 6 disposition
v 7 event
v 8 situation
v 9 goal
v 10 intention
v 11 belief
v 12 proposition
v 13 relation
v 14 relation
v 15 relation
v 16 relation
v 17 relation
v 18 relation
v 19 relation
v 20 relation
v 21 relation
v 22 relation
v 23 relation
v 24 relation
v 25 relation
v 26 relation
v 27 relation
e 13 1 source
e 13 2 target
e 14 3 source
e 14 2 target
e 15 4 source
e 15 3 target
e 16 4 source
e 16 5 target
e 17 6 source
e 17 5 target
e 18 7 source
e 18 6 target
e 19 8 source
e 19 7 target
e 20 12 source
e 20 8 target
e 21 12 source
e 21 9 target
e 22 9 source
e 22 8 target
e 23 9 source
e 23 10 target
e 24 1 source
e 24 10 target
e 25 1 source
e 25 11 target
e 26 4 source
e 26 1 target
e 27 12 source
e 27 11 target
t # neves2020nwpontology
v 1 kind
v 2 kind
v 3 role
v 4 subkind
v 5 subkind
v 6 subkind
v 7 subkind
v 8 subkind
v 9 kind
v 10 subkind
v 11 kind
v 12 subkind
v 13 subkind
v 14 category
v 15 kind
v 16 kind
v 17 subkind
v 18 subkind
v 19 subkind
v 20 kind
v 21 kind
v 22 kind
v 23 role
v 24 kind
v 25 kind
v 26 datatype
v 27 kind
v 28 TimePoint
v 29 TimePoint
v 30 situation
v 31 role
v 32 role
v 33 event
v 34 situation
v 35 kind
v 36 Generalization
v 37 Generalization
v 38 Generalization
v 39 Generalization
v 40 Generalization
v 41 Generalization
v 42 Generalization
v 43 Generalization
v 44 Generalization
v 45 Generalization
v 46 Generalization
v 47 Generalization
v 48 Generalization
v 49 Generalization
v 50 Generalization
v 51 Generalization
v 52 Generalization
v 53 Generalization
v 54 Generalization
v 55 relation
v 56 relation
v 57 relation
v 58 relation
v 59 relation
v 60 relation
v 61 relation
v 62 relation
v 63 relation
v 64 relation
v 65 relation
v 66 relation
v 67 relation
v 68 relation
v 69 relation
v 70 relation
v 71 relation
v 72 relation
v 73 relation
v 74 relation
v 75 relation
v 76 relation
e 36 9 general
e 36 3 specific
e 37 2 general
e 37 4 specific
e 38 2 general
e 38 5 specific
e 39 2 general
e 39 6 specific
e 40 2 general
e 40 7 specific
e 41 2 general
e 41 8 specific
e 42 2 general
e 42 10 specific
e 43 11 general
e 43 12 specific
e 44 11 general
e 44 13 specific
e 45 14 general
e 45 15 specific
e 46 14 general
e 46 16 specific
e 47 15 general
e 47 17 specific
e 48 15 general
e 48 18 specific
e 49 15 general
e 49 19 specific
e 50 7 general
e 50 21 specific
e 51 7 general
e 51 22 specific
e 52 25 general
e 52 23 specific
e 53 35 general
e 53 32 specific
e 54 25 general
e 54 31 specific
e 55 1 source
e 55 2 target
e 56 2 source
e 56 3 target
e 57 12 source
e 57 13 target
e 58 16 source
e 58 19 target
e 59 20 source
e 59 23 target
e 60 23 source
e 60 24 target
e 61 24 source
e 61 26 target
e 62 24 source
e 62 27 target
e 63 13 source
e 63 24 target
e 64 24 source
e 64 14 target
e 65 3 source
e 65 23 target
e 66 27 source
e 66 28 target
e 67 27 source
e 67 28 target
e 68 33 source
e 68 29 target
e 69 33 source
e 69 34 target
