t # 0 G1
v 1 blue
v 2 yellow
v 3 red
v 4 purple
v 5 purple
v 6 red
v 7 yellow
e 1 2 white
e 1 3 white
e 3 2 white
e 2 4 white
e 3 4 white
e 4 6 white
e 5 3 white
e 6 5 white
e 6 7 white
e 7 5 white
t # 1 G2
v 1 blue
v 2 yellow
v 3 red
v 4 purple
v 5 purple
v 6 red
v 7 yellow
v 8 blue
e 1 2 white
e 1 3 white
e 3 2 white
e 2 4 white
e 3 4 white
e 4 6 white
e 5 3 white
e 6 5 white
e 6 7 white
e 7 5 white
e 8 7 white
t # 2 G3
v 1 blue
v 2 yellow
v 3 red
v 4 purple
v 5 purple
v 6 red
v 7 yellow
e 1 2 white
e 1 3 white
e 3 2 white
e 2 4 white
e 3 4 white
e 4 6 white
e 6 5 white
e 6 7 white
e 7 5 white
